Datum;Uhrzeit;Ort;Name;Veranstalter
04.01.2025;19:30;Kirche;Neujahrskonzert (mit emBRASSment);Kirchengemeinde St. Michael
19.01.2025;"";Vereinssaal;Sektempfang;GCC 1981 e.V.
31.01.2025;20:00;Feuerwehrgerätehaus;Jahreshauptversammlung;FFW Niederjosbach
07.02.2025;18:30;Kastanienhof;Stammtisch;Heimat- u. Geschichtsverein
15.02.2025;"";Vereinssaal;SchoGoDa Faschingsparty;GCC 1981 e.V.
23.02.2025;"";Vereinssaal;Kinderfasching;GCC 1981 e.V.
01.03.2025;"";Turnhalle am Bienroth in Eppstein;Faschingsvolleyballturnier;TuS Niederjosbach, Abt. Volleyball
02.03.2025;"";Vereinssaal;Prunksitzung;GCC 1981 e.V.
04.03.2025;14:11;Vereinssaal;Faschingsumzug mit anschließender Feier;GCC 1981 e.V.
07.03.2025;19:30;Vereinssaal;Mitgliederversammlung;Gesangverein Taunusliebe
18.04.2025;"";Kirche;Konzert;Kirchenchor St. Michael
25.04.2025;18:30;Kastanienhof;Stammtisch;Heimat- u. Geschichtsverein
30.04.2025;"";Feuerwehrgerätehaus;Zeltaufbau;FFW Niederjosbach
01.05.2025;"";Feuerwehrgerätehaus;Fest zum Maifeiertag;FFW Niederjosbach
04.05.2025;14:30;Vereinssaal;Kaffeenachmittag;Gesangverein Taunusliebe
29.05.2025;"";Dorfplatz;Familienwanderung;Gesangverein Taunusliebe
19.06.2025;"";Kirche;Gemeindefest;Kirchengemeinde St. Michael
27.06.2025;18:30;Kastanienhof;Mitgliederversammlung;Heimat- u. Geschichtsverein
29.06.2025;11:00;Dorfplatz;Dorfplatzfest;Gesangverein Taunusliebe
17.08.2025;11:00;Hof Peter Heinz;Sommerfest;Heimat- u. Geschichtsverein
23.08.2025;"";Vereinssaal;Sommerfest zum 44jährigen Bestehen des Vereins;GCC 1981 e.V.
19.09.2025;18:30;Kastanienhof;Stammtisch;Heimat- u. Geschichtsverein
25.10.2025;14:00;Ecke Eppsteinerstr. / Gartenstr.;Dickwurzschnitzen;Heimat- u. Geschichtsverein
09.11.2025;"";Kirche;Gedenkgottesdienst;Gesangverein Taunusliebe
08.11.2025;"";Vereinssaal;Musikalischer Abend;Gesangverein Sängerlust
14.11.2025;17:00;Kirche/KiTa;Sankt Martin;KiTa Niederjosbach
15.11.2025;17:11;Vor der Feuerwehr;Rathaussturm;GCC 1981 e.V.
16.11.2025;10:00;Ehrenmal;Volkstrauertag;Vereinsring (insb. Taunusliebe) + Ortsvorsteherin
22.11.2025;"";Feuerwehrgerätehaus;Abschlussfeier;FFW Niederjosbach
30.11.2025;15:00;Vereinssaal;Kaffeenachmittag;Gesangverein Taunusliebe
07.12.2025;11:00;Dorfplatz;Adventsmarkt;Vereinsring Njb.
12.12.2025;"";Kastanienhof;Weihnachtsfeier;Gesangverein Taunusliebe
24.12.2025;16:30;Feuerwehrgerätehaus;Turmblasen;FFW Niederjosbach
