Datum;Uhrzeit;Ort;Name;Veranstalter
06.01.2023;;St. Michael;"Neujahrskonzert ""Colcanto Frankfurt""";Föderverein St. Michael
20.01.2023;;Clubheim+Arena TuS;Dämmerschoppen;TuS Niederjosbach
22.01.2023;;Vereinssaal;Senatorenenpfang;
27.01.2023;18:30;Kastanienhof;Stammtisch HGV;Heimat- u. Geschichtsverein
03.02.2023;20:00;Feuerwehrgerätehaus;JHV FFW;FFW Niederjosbach
04.02.2023;;Vereinssaal;Schoguda;GCC 1981 e.V.
12.02.2023;;Vereinssaal;Kindersitzung;GCC 1981 e.V.
19.02.2023;;Vereinssaal;Prunksitzung;GCC 1981 e.V.
18.02.2023;;Bienrothhalle;Volleyballturnier;TuS Niederjosbach
21.02.2023;14:11;Straßen+Vereinssaal;Fastnachtsumzug+Ausklang;GCC 1981 e.V.
24.02.2023;19:00;Vereinssaal;Mitgliederversammlung;Gesangverein Taunusliebe
24.03.2023;18:30;Kastanienhof;Stammtisch;Heimat- u. Geschichtsverein
27.03.2023;20:00;Vereinssaal ;Vereinsringsitzung;VR Niederjosbach
09.04.2023;11:00;Kirche;GoDi unter Mitwirkung Kirchenchor;Kirchenchor
22.04.2023;20:00;Vereinssaal;Musikalischer Abend;Gesangverein Sängerlust
28.04.2023;;Kastanienhof;JHV HGV;Heimat- und Geschichtsverein
01.05.2023;;Feuerwehrgerätehaus und Vorplatz;Frühschoppen (Musik ab 11 Uhr);FFW Niederjosbach
18.05.2023;;;Vatertagswanderung;FFW Niederjosbach
18.05.2023;;;Vatertagswanderung;Gesangverein Taunusliebe
15.07.2023;15:00;Dorfplatz;Dorfplatzfest;Gesangverein Taunusliebe
16.07.2023;11:00;Dorfplatz;Dorfplatzfest;Gesangverein Taunusliebe
21.07.2023;18:30;Kastanienhof;Stammtisch;Heimat- und Geschichtsverein
22.09.2023;18:30;Kastanienhof;Stammtisch HGV;Heimat- u. Geschichtsverein
21.10.2023;14:00;Ecke Eppsteinerstr. / Gartenstr.;Dickworzschnitze;Heimat- u. Geschichtsverein
10.11.2023;17:00;Kirche/KiTa;Sankt Martin;KiTa Niederjosbach
11.11.2023;17:11;Vereinssaal;Rathaussturm;GCC 1981 e.V.
12.11.2023;10:00;Ehrenmal;Gedenken zum Volkstrauertag;Vereinsring (insb. Sängerlust) + Ortsvorsteherin
24.11.2023;18:30;Kastanienhof;Stammtisch;Heimat- und Geschichtsverein
02.12.2023;19:00;Vereinssaal;Unterhaltungsabend mit 1. Aufführung des Theaterstücks;Gesangverein Taunusliebe
03.12.2023;15:00;Vereinssaal;Kaffeenachmittag mit 2. Aufführung des Theaterstücks;Gesangverein Taunusliebe
05.12.2023;15:00;;Nikolausdienst der Feuerwehr;FFW Niederjosbach
06.12.2023;15:00;;Nikolausdienst der Feuerwehr;FFW Niederjosbach
09.12.2023;17:00;;Weihnachtsfeier GCC;GCC 1981 e.V.
10.12.2023;11:00;Dorfplatz;Adventsmarkt der Vereine;Vereinsring Njb.
24.12.2023;16:00;Eisbahn Kastanienhof;Krippenspiel on ice;Kirchengemeinde
24.12.2023;16:30;Feuerwehrgerätehaus;Turmblasen;FFW Niederjosbach
