Datum;Uhrzeit;Ort;Name;Veranstalter
29.10.2025;"";Kirche;Jahreshauptversammlung;Kirchenchor St. Michael
11.11.2025;17:00;Kirche/KiTa;Sankt Martin;KiTa Niederjosbach
23.11.2025;"";Kirche;Gedenkgottesdienst;Kirchenchor St. Michael
14.12.2025;"";Kirche;Gedenkgottesdienst;Gesangverein Sängerlust
10.12.2025;14:30;Kirche;Ökumenischer Seniorenadventsnachmittag;Kirchengemeinde St. Michael
18.01.2026;"";Vereinssaal;Sektempfang;GCC 1981 e.V.
30.01.2026;"";Feuerwehrgerätehaus;Jahreshauptversammlung;FFW Niederjosbach
31.01.2026;"";Vereinssaal;SchoGuDa;GCC 1981 e.V.
08.02.2026;"";Vereinssaal;Kinderfasching;GCC 1981 e.V.
14.02.2026;"";Turnhalle am Bienroth in Eppstein;Fastnachts Volleyballturnier;TuS Niederjosbach, Abt. Volleyball
15.02.2026;"";Vereinssaal;Prunksitzung;GCC 1981 e.V.
17.02.2026;"";Vereinssaal;Umzug;GCC 1981 e.V.
20.02.2026;"";Vereinssaal;Mitgliederversammlung;Gesangverein Taunusliebe
18.04.2026;"";Vereinssaal;Musikalischer Abend;Gesangverein Sängerlust
01.05.2026;"";Feuerwehrgerätehaus;Frühschoppen;FFW Niederjosbach
03.05.2026;"";Vereinssaal;Kaffeenachmittag;Gesangverein Taunusliebe
08.05.2026;18:30;Kastanienhof;Stammtisch;Heimat- u. Geschichtsverein
14.05.2026;"";Dorfplatz;Familienwanderung;Gesangverein Taunusliebe
12.06.2026;"";Dorfplatz;Weinstand;FFW Niederjosbach
21.06.2026;"";Dorfplatz;Dorfplatzfest;Gesangverein Taunusliebe
26.06.2026;18:30;Kastanienhof;Mitgliederversammlung;Heimat- u. Geschichtsverein
23.08.2026;11:00;"eh. Gasthof ""Krone""";Sommerfest;Heimat- u. Geschichtsverein
12.09.2026;"";Feuerwehrgerätehaus;50. Jubiläum Jugendfeuerwehr;FFW Niederjosbach
24.10.2026;14:00;Ecke Eppsteinerstr. / Gartenstr.;Dickworzschnitzen;Heimat- u. Geschichtsverein
07.11.2026;"";Vereinssaal;Musikalischer Abend;Gesangverein Sängerlust
08.11.2026;"";Kirche;Gedenkgottesdienst;Gesangverein Sängerlust
13.11.2026;18:30;Kastanienhof;Stammtisch;Heimat- u. Geschichtsverein
14.11.2026;17:11;Vor der Feuerwehr;Rathaussturm;GCC 1981 e.V.
15.11.2026;10:00;Ehrenmal;Volkstrauertag;Vereinsring (insb. Taunusliebe) + Ortsvorsteher
21.11.2026;"";Feuerwehrgerätehaus;Jahresabschlussfeier;FFW Niederjosbach
28.11.2026;"";Vereinssaal;Unterhaltungsabend;Gesangverein Taunusliebe
29.11.2026;"";Vereinssaal;Kaffeenachmittag;Gesangverein Taunusliebe
06.12.2026;"";Dorfplatz;Adventsmarkt;Vereinsring Njb.
11.12.2026;"";Kastanienhof;Weihnachtsfeier;Gesangverein Taunusliebe
24.12.2026;16:30;Feuerwehrgerätehaus;Turmblasen;FFW Niederjosbach
